iter	Passed	Remaining
213	846	3107
214	849	3102
215	853	3098
216	858	3096
217	862	3093
218	865	3086
219	869	3083
220	873	3079
221	878	3077
222	882	3075
223	886	3071
224	890	3068
225	894	3064
226	900	3065
227	903	3060
228	908	3058
229	911	3052
230	916	3051
231	920	3047
232	925	3045
233	928	3040
234	933	3037
235	936	3031
236	940	3028
237	944	3025
238	948	3020
239	952	3014
240	956	3013
241	960	3007
242	964	3004
243	967	2998
244	971	2994
245	975	2989
246	979	2986
247	982	2979
248	986	2973
249	990	2970
250	993	2965
251	998	2962
252	1002	2959
253	1006	2956
254	1011	2954
255	1015	2950
256	1019	2946
257	1023	2942
258	1028	2941
259	1032	2938
260	1037	2937
261	1041	2934
262	1045	2931
263	1050	2929
264	1055	2926
265	1059	2922
266	1063	2920
267	1069	2919
268	1072	2915
269	1076	2910
270	1080	2906
271	1085	2903
272	1088	2899
273	1092	2895
274	1096	2890
275	1100	2887
276	1103	2881
277	1107	2877
278	1110	2870
279	1114	2864
280	1118	2860
281	1122	2857
282	1125	2851
283	1128	2845
284	1132	2842
285	1136	2837
286	1140	2833
287	1144	2829
288	1148	2825
289	1151	2819
290	1154	2812
291	1158	2808
292	1162	2805
293	1167	2802
294	1170	2798
295	1175	2795
296	1180	2793
297	1184	2789
298	1188	2786
299	1191	2780
300	1194	2774
301	1198	2770
302	1202	2767
303	1207	2763
304	1211	2760
305	1215	2757
306	1219	2753
307	1223	2749
308	1228	2746
309	1232	2743
310	1236	2740
311	1241	2737
312	1245	2734
313	1249	2729
314	1252	2724
315	1255	2717
316	1259	2713
317	1263	2708
318	1266	2704
319	1269	2698
320	1273	2694
321	1277	2690
322	1282	2687
323	1285	2682
324	1289	2677
325	1293	2674
326	1297	2671
327	1301	2666
328	1305	2663
329	1309	2659
330	1314	2656
331	1317	2651
332	1321	2647
333	1325	2642
334	1329	2638
335	1333	2635
336	1337	2631
337	1340	2626
338	1345	2622
339	1348	2618
340	1351	2612
341	1356	2608
342	1359	2603
343	1362	2599
344	1365	2592
345	1369	2588
346	1373	2583
347	1376	2579
348	1380	2574
349	1383	2568
350	1387	2565
351	1390	2559
352	1393	2554
353	1397	2549
354	1401	2546
355	1405	2542
356	1409	2538
357	1412	2533
358	1417	2530
359	1420	2525
360	1424	2521
361	1427	2516
362	1430	2510
363	1435	2507
364	1439	2504
365	1442	2499
366	1445	2493
367	1449	2490
368	1452	2484
369	1456	2480
370	1460	2476
371	1464	2472
372	1467	2467
373	1471	2462
374	1475	2459
375	1479	2455
376	1483	2452
377	1487	2448
378	1491	2443
379	1495	2440
380	1498	2435
381	1502	2430
382	1506	2426
383	1509	2421
384	1514	2418
385	1517	2414
386	1521	2410
387	1526	2407
388	1530	2404
389	1533	2398
390	1537	2394
391	1540	2389
392	1544	2385
393	1549	2382
394	1553	2379
395	1557	2376
396	1562	2372
397	1565	2368
398	1570	2365
399	1574	2361
400	1578	2358
401	1581	2353
402	1586	2349
403	1589	2345
404	1594	2341
405	1596	2336
406	1600	2332
407	1605	2329
408	1609	2325
409	1612	2319
410	1616	2316
411	1619	2311
412	1623	2308
413	1627	2303
414	1631	2300
415	1635	2295
416	1640	2293
417	1645	2290
418	1649	2287
419	1653	2283
420	1658	2281
421	1663	2277
422	1666	2273
423	1670	2268
424	1674	2265
425	1677	2260
426	1681	2256
427	1685	2253
428	1690	2250
429	1695	2246
430	1698	2241
431	1700	2235
432	1704	2231
433	1707	2227
434	1712	2224
435	1716	2220
436	1720	2217
437	1724	2212
438	1728	2208
439	1732	2204
440	1736	2201
441	1740	2196
442	1744	2193
443	1747	2188
444	1751	2184
445	1754	2179
446	1759	2176
447	1762	2171
448	1766	2167
449	1771	2164
450	1775	2161
451	1779	2156
452	1783	2153
453	1787	2149
454	1792	2146
455	1796	2142
456	1800	2139
457	1804	2135
458	1808	2131
459	1812	2127
460	1816	2123
461	1818	2118
462	1823	2114
463	1826	2109
464	1830	2106
465	1835	2103
466	1839	2100
467	1842	2094
468	1846	2091
469	1851	2087
470	1855	2084
471	1858	2079
472	1862	2075
473	1865	2070
474	1870	2066
475	1872	2061
476	1876	2057
477	1880	2053
478	1882	2048
479	1886	2044
480	1890	2039
481	1893	2035
482	1897	2030
483	1900	2026
484	1904	2022
485	1908	2018
486	1912	2014
487	1915	2009
488	1919	2005
489	1921	2000
490	1926	1996
491	1929	1992
492	1933	1988
493	1936	1983
494	1940	1980
495	1944	1976
496	1948	1971
497	1952	1968
498	1955	1963
499	1959	1959
500	1963	1955
501	1967	1952
502	1972	1948
503	1976	1945
504	1980	1941
505	1983	1936
506	1985	1930
507	1989	1926
508	1992	1922
509	1996	1918
510	2000	1914
511	2004	1910
512	2009	1907
513	2013	1904
514	2017	1899
515	2021	1896
516	2025	1892
517	2030	1889
518	2034	1885
519	2038	1881
520	2041	1876
521	2045	1873
522	2048	1868
523	2052	1864
524	2056	1860
525	2059	1855
526	2063	1851
527	2065	1846
528	2069	1843
529	2072	1838
530	2075	1833
531	2080	1829
532	2084	1826
533	2088	1822
534	2090	1817
535	2095	1813
536	2099	1810
537	2103	1806
538	2106	1801
539	2110	1797
540	2114	1794
541	2119	1790
542	2122	1786
543	2126	1782
544	2130	1778
545	2134	1775
546	2137	1770
547	2141	1766
548	2145	1762
549	2150	1759
550	2154	1755
551	2159	1752
552	2163	1748
553	2167	1744
554	2171	1740
555	2175	1737
556	2179	1733
557	2183	1729
558	2186	1724
559	2190	1721
560	2194	1717
561	2198	1713
562	2201	1708
563	2205	1704
564	2209	1701
565	2213	1697
566	2216	1692
567	2220	1689
568	2224	1685
569	2228	1681
570	2231	1676
571	2235	1672
572	2239	1668
573	2243	1664
574	2246	1660
575	2249	1655
576	2253	1652
577	2257	1647
578	2261	1644
579	2264	1639
580	2267	1635
581	2272	1631
582	2276	1628
583	2279	1623
584	2282	1619
585	2286	1615
586	2290	1611
587	2294	1607
588	2296	1602
589	2300	1598
590	2305	1595
591	2308	1591
592	2313	1587
593	2318	1584
594	2322	1581
595	2327	1577
596	2331	1573
597	2335	1569
598	2339	1566
599	2343	1562
600	2346	1557
601	2350	1554
602	2354	1550
603	2358	1546
604	2362	1542
605	2366	1538
606	2370	1534
607	2373	1530
608	2376	1525
609	2380	1522
610	2384	1518
611	2388	1514
612	2392	1510
613	2396	1506
614	2400	1502
615	2404	1499
616	2407	1494
617	2411	1490
618	2415	1486
619	2419	1482
620	2422	1478
621	2425	1474
622	2430	1470
623	2434	1466
624	2438	1462
625	2441	1458
626	2445	1454
627	2449	1451
628	2453	1447
629	2457	1443
630	2461	1439
631	2465	1435
632	2469	1431
633	2473	1427
634	2477	1424
635	2482	1420
636	2485	1416
637	2488	1412
638	2492	1408
639	2496	1404
640	2501	1400
641	2504	1396
642	2507	1392
643	2511	1388
644	2515	1384
645	2518	1380
646	2523	1376
647	2527	1372
648	2531	1369
649	2534	1364
650	2538	1360
651	2542	1357
652	2547	1353
653	2549	1349
654	2554	1345
655	2558	1341
656	2562	1337
657	2565	1333
658	2569	1329
659	2573	1325
660	2578	1322
661	2581	1318
662	2585	1314
663	2588	1310
664	2592	1306
665	2596	1301
666	2598	1297
667	2602	1293
668	2607	1289
669	2611	1286
670	2614	1281
671	2618	1278
672	2623	1274
673	2626	1270
674	2630	1266
675	2634	1262
676	2639	1259
677	2643	1255
678	2647	1251
679	2651	1247
680	2655	1243
681	2659	1240
682	2662	1235
683	2666	1232
684	2672	1228
685	2675	1224
686	2678	1220
687	2682	1216
688	2686	1212
689	2691	1209
690	2694	1204
691	2697	1200
692	2701	1196
693	2706	1193
694	2708	1188
695	2712	1184
696	2716	1180
697	2720	1177
698	2724	1173
699	2727	1169
700	2732	1165
701	2736	1161
702	2739	1157
703	2743	1153
704	2747	1149
705	2752	1146
706	2755	1141
707	2758	1137
708	2762	1133
709	2766	1130
710	2770	1126
711	2772	1121
712	2776	1117
713	2781	1114
714	2784	1110
715	2789	1106
716	2793	1102
717	2798	1098
718	2802	1095
719	2805	1091
720	2810	1087
721	2815	1083
722	2818	1079
723	2822	1075
724	2826	1072
725	2830	1068
726	2834	1064
727	2837	1060
728	2842	1056
729	2846	1052
730	2850	1048
731	2852	1044
732	2856	1040
733	2861	1036
734	2865	1033
735	2868	1028
736	2872	1025
737	2877	1021
738	2881	1017
739	2884	1013
740	2887	1009
741	2890	1005
742	2894	1001
743	2898	997
744	2901	993
745	2905	989
746	2910	985
747	2914	981
748	2917	977
749	2921	973
750	2926	970
751	2930	966
752	2933	962
753	2938	958
754	2943	955
755	2946	951
756	2950	947
757	2955	943
758	2959	939
759	2962	935
760	2966	931
761	2970	927
762	2975	924
763	2978	919
764	2981	915
765	2985	912
766	2989	908
767	2993	904
768	2995	899
769	2999	895
770	3003	892
771	3006	888
772	3009	883
773	3012	879
774	3016	875
775	3020	871
776	3024	868
777	3027	863
778	3031	859
779	3035	856
780	3039	852
781	3042	848
782	3046	844
783	3050	840
784	3054	836
785	3058	832
786	3061	828
787	3066	824
788	3069	820
789	3073	817
790	3076	812
791	3080	809
792	3083	804
793	3086	800
794	3090	796
795	3094	793
796	3098	789
797	3103	785
798	3107	781
799	3111	777
800	3115	773
801	3120	770
802	3123	766
803	3127	762
804	3131	758
805	3136	754
806	3139	750
807	3143	747
808	3147	743
809	3151	739
810	3154	735
811	3158	731
812	3162	727
813	3167	723
814	3170	719
815	3175	716
816	3179	712
817	3184	708
818	3187	704
819	3192	700
820	3195	696
821	3198	692
822	3201	688
823	3205	684
824	3209	680
825	3213	676
826	3216	672
827	3220	669
828	3224	665
829	3229	661
830	3232	657
831	3235	653
832	3239	649
833	3244	645
834	3248	641
835	3252	638
836	3256	634
837	3259	630
838	3264	626
839	3267	622
840	3272	618
841	3276	614
842	3280	610
843	3284	607
844	3288	603
845	3292	599
846	3297	595
847	3301	591
848	3305	587
849	3309	584
850	3313	580
851	3316	576
852	3321	572
853	3325	568
854	3328	564
855	3332	560
856	3336	556
857	3340	552
858	3344	548
859	3347	544
860	3352	541
861	3356	537
862	3359	533
863	3361	529
864	3366	525
865	3370	521
866	3373	517
867	3376	513
868	3380	509
869	3385	505
870	3389	502
871	3392	498
872	3396	494
873	3400	490
874	3405	486
875	3410	482
876	3414	478
877	3419	475
878	3423	471
879	3427	467
880	3431	463
881	3435	459
882	3438	455
883	3440	451
884	3444	447
885	3448	443
886	3452	439
887	3456	435
888	3460	432
889	3464	428
890	3469	424
891	3471	420
892	3476	416
893	3480	412
894	3485	408
895	3487	404
896	3492	400
897	3496	397
898	3500	393
899	3504	389
900	3508	385
901	3512	381
902	3516	377
903	3519	373
904	3523	369
905	3527	365
906	3531	362
907	3534	358
908	3536	354
909	3540	350
910	3545	346
911	3549	342
912	3552	338
913	3557	334
914	3561	330
915	3565	326
916	3569	323
917	3573	319
918	3577	315
919	3581	311
920	3584	307
921	3587	303
922	3591	299
923	3595	295
924	3598	291
925	3602	287
926	3607	284
927	3611	280
928	3615	276
929	3619	272
930	3624	268
931	3627	264
932	3630	260
933	3634	256
934	3638	252
935	3643	249
936	3645	245
937	3649	241
938	3653	237
939	3657	233
940	3661	229
941	3664	225
942	3668	221
943	3672	217
944	3677	214
945	3680	210
946	3685	206
947	3689	202
948	3693	198
949	3696	194
950	3700	190
951	3704	186
952	3709	182
953	3712	179
954	3717	175
955	3721	171
956	3724	167
957	3726	163
958	3731	159
959	3735	155
960	3739	151
961	3742	147
962	3746	143
963	3750	140
964	3754	136
965	3758	132
966	3763	128
967	3767	124
968	3772	120
969	3775	116
970	3779	112
971	3784	109
972	3788	105
973	3791	101
974	3793	97
975	3798	93
976	3800	89
977	3803	85
978	3806	81
979	3809	77
980	3812	73
981	3815	69
982	3818	66
983	3821	62
984	3824	58
985	3827	54
986	3831	50
987	3835	46
988	3838	42
989	3842	38
990	3847	34
991	3851	31
992	3854	27
993	3858	23
994	3862	19
995	3866	15
996	3869	11
997	3872	7
998	3876	3
999	3881	0
